Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnchorModifierGui.java",1,1,1,1,5,0,3,1,,,,1,0,1,5,,5,5,0,5,,0,1,0,4,,62,10,30,16,10,23,,,,15,21,13,8,,,,,,1,1,1,1,,,0,,,0.77,5,5,5,5
File,"Argument.java",1,1,1,1,9,0,3,6,,,,1,0,6,14,,14,14,0,14,,0,0,0,14,,204,24,69,29,29,119,,,,32,49,26,23,,,,,,3,3,4,3,,,1,,,1.72,16,16,17,16
File,"ArgumentDecoder.java",1,1,1,1,4,0,2,1,,,,1,1,2,2,,2,1,0,2,,0,1,0,1,,41,6,11,7,3,25,,,,5,8,7,1,,,,,,1,1,1,1,,,0,,,2.27,2,2,2,2
File,"ArgumentEncoder.java",1,1,1,1,4,0,2,1,,,,1,1,2,2,,2,1,0,2,,0,1,0,1,,41,6,11,7,3,24,,,,5,8,7,1,,,,,,1,1,1,1,,,0,,,2.18,2,2,2,2
File,"Arguments.java",1,1,1,1,11,0,5,6,,,,1,0,2,17,,17,17,0,17,,0,0,0,17,,259,24,113,44,54,125,,,,50,80,42,38,,,,,,4,4,4,1,,,2,,,1.11,29,29,29,17
File,"ArgumentsPanel.java",2,2,2,1,14,0,9,5,,,,1,1,10,35,,35,34,10,35,,0,7,13,15,,689,80,404,123,244,236,,,,219,303,121,182,,,,,,8,8,8,4,,,5,,,0.58,80,80,86,38
File,"Assertion.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,44,3,5,4,0,36,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,7.20,0,0,0,0
File,"AssertionGui.java",2,2,2,1,21,2,15,4,,,,3,0,2,13,,13,13,15,13,,0,5,0,8,,433,71,258,77,170,125,,,,180,219,71,148,,,,,,12,12,12,1,,,2,,,0.48,36,36,36,13
File,"AssertionResult.java",1,1,1,1,9,0,3,5,,,,1,0,2,12,,12,12,4,12,,0,0,0,12,,165,20,54,23,20,93,,,,26,39,21,18,,,,,,2,2,2,1,,,0,,,1.72,13,13,13,12
File,"AssertionVisualizer.java",1,1,1,1,11,1,9,1,,,,2,0,1,7,,7,7,1,7,,0,2,0,5,,124,21,82,36,43,27,,,,54,66,34,32,,,,,,5,5,6,1,,,3,,,0.33,11,11,12,7
File,"AsynchSampleSender.java",2,2,2,1,10,0,9,2,,,,2,0,4,8,,8,8,7,8,,0,3,1,4,,161,24,107,45,55,41,,,,58,78,41,37,,,,,,7,7,8,1,,,5,,,0.38,19,19,20,8
File,"AuthManager.java",1,1,2,1,9,0,7,1,,,,1,1,10,21,,21,20,0,21,,1,0,0,20,,295,38,199,88,107,68,,,,108,148,81,67,,,,,,9,9,14,4,,,4,,,0.34,40,40,47,27
File,"AuthPanel.java",2,1,2,1,11,0,9,2,,,,3,0,8,24,,24,24,8,24,,0,3,0,21,,415,63,287,106,162,78,,,,165,211,90,121,,,,,,17,17,17,1,,,5,,,0.27,53,45,55,24
File,"Authorization.java",1,1,1,1,3,0,3,0,,,,1,0,7,16,,16,16,0,16,,1,0,0,15,,118,27,66,30,26,31,,,,31,48,29,19,,,,,,1,1,1,1,,,0,,,0.47,16,16,16,16
File,"AxisGraph.java",1,1,1,1,8,0,5,2,,,,1,0,4,37,,37,37,20,37,,0,3,0,34,,436,66,259,112,125,116,,,,145,197,109,88,,,,,,12,12,13,1,,,3,,,0.45,53,53,58,37
File,"BSFAssertion.java",3,3,3,1,21,0,21,0,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,57,5,35,15,19,17,,,,23,27,14,13,,,,,,3,3,3,1,,,1,,,0.49,3,3,3,1
File,"BSFAssertionBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BSFBeanInfoSupport.java",1,1,1,1,3,0,3,0,,,,1,0,1,1,,1,1,2,1,,0,0,1,0,,46,7,19,9,8,22,,,,11,15,9,6,,,,,,1,1,1,1,,,0,,,1.16,1,1,1,1
File,"BSFJavaScriptEngine.java",3,3,4,1,29,3,21,5,,,,1,0,0,6,,6,6,1,6,,0,1,0,5,,243,32,151,47,88,62,,,,73,95,38,57,,,,,,9,9,11,1,,,2,,,0.41,22,22,27,6
File,"BSFListener.java",1,1,1,1,6,0,5,0,,,,1,0,2,5,,5,5,0,5,,0,0,0,5,,80,10,49,26,18,21,,,,23,32,20,12,,,,,,4,4,4,3,,,2,,,0.43,8,8,8,7
File,"BSFListenerBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BSFPostProcessor.java",3,3,3,1,13,0,13,0,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,49,5,27,14,11,17,,,,15,19,13,6,,,,,,3,3,3,1,,,1,,,0.63,3,3,3,1
File,"BSFPostProcessorBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BSFPreProcessor.java",4,4,4,3,14,0,14,0,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,50,5,28,14,12,17,,,,16,21,13,8,,,,,,4,4,4,3,,,2,,,0.61,4,4,4,3
File,"BSFPreProcessorBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BSFSampler.java",2,2,2,1,22,1,14,7,,,,1,0,3,4,,4,4,0,4,,0,0,0,4,,151,19,89,41,52,51,,,,64,72,38,34,,,,,,5,5,5,1,,,2,,,0.57,8,8,8,4
File,"BSFSamplerBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,31,4,7,4,1,20,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.86,1,1,1,1
File,"BSFTestElement.java",1,1,1,1,13,0,12,3,,,,1,0,2,5,,5,5,0,5,,0,0,4,1,,129,14,94,45,56,39,,,,62,72,43,29,,,,,,3,3,3,3,,,2,,,0.41,9,9,9,7
File,"BSFTimer.java",5,5,5,4,23,0,22,1,,,,1,0,2,1,,1,1,0,1,,0,0,0,1,,57,5,34,15,19,18,,,,20,25,14,11,,,,,,5,5,5,4,,,2,,,0.53,5,5,5,4
File,"BSFTimerBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BarChart.java",1,1,1,1,10,0,9,1,,,,1,0,2,6,,6,6,0,6,,0,0,0,6,,111,13,69,31,40,29,,,,47,58,31,27,,,,,,4,4,4,1,,,3,,,0.42,10,10,10,6
File,"BarChartGui.java",1,1,1,1,12,0,11,0,,,,1,0,1,7,,7,7,6,7,,0,1,0,6,,155,23,115,52,74,18,,,,89,97,44,53,,,,,,1,1,1,1,,,0,,,0.16,7,7,7,7
File,"BarChartTest.java",1,1,1,1,25,1,22,2,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,88,9,58,26,41,22,,,,50,54,26,28,,,,,,2,2,2,1,,,1,,,0.38,3,3,3,2
File,"BarGraph.java",1,1,1,1,6,0,3,3,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,90,16,33,15,10,41,,,,17,25,15,10,,,,,,1,1,1,1,,,0,,,1.24,7,7,7,7
File,"Base64Encoder.java",1,1,1,1,11,0,10,1,,,,1,3,2,4,,4,1,0,4,,0,1,0,3,,83,7,50,21,36,27,,,,34,42,20,22,,,,,,3,3,3,3,,,1,,,0.54,7,7,7,6
File,"BaseJMSSampler.java",1,1,1,1,9,0,4,4,,,,1,1,14,28,,29,28,0,29,,0,0,0,29,,371,61,146,59,74,178,,,,80,111,58,53,,,,,,5,5,5,1,,,2,,,1.22,32,32,33,28
File,"BatchSampleSender.java",2,2,2,1,17,0,11,5,,,,1,0,6,7,,7,7,7,7,,0,1,3,3,,201,26,110,40,62,71,,,,53,74,33,41,,,,,,9,9,10,1,,,3,,,0.65,19,19,20,7
File,"BeanInfoSupport.java",1,1,1,1,11,0,7,4,,,,1,0,8,13,,13,13,5,13,,0,0,5,8,,264,34,131,58,65,105,,,,71,96,52,44,,,,,,8,8,8,3,,,3,,,0.80,24,24,24,15
File,"BeanShell.java",2,2,2,1,13,2,10,3,,,,1,0,4,6,,6,6,2,6,,0,0,0,6,,155,33,90,39,44,47,,,,49,64,33,31,,,,,,8,8,9,1,,,2,,,0.52,14,14,15,6
File,"BeanShellAssertion.java",1,1,1,1,12,1,9,4,,,,1,0,7,6,,6,6,0,6,,0,0,1,5,,133,21,77,28,47,56,,,,48,57,22,35,,,,,,4,4,4,1,,,1,,,0.73,9,9,9,6
File,"BeanShellAssertionGui.java",1,1,1,1,9,1,8,1,,,,1,0,1,11,,11,11,4,11,,0,5,0,6,,171,32,116,46,69,37,,,,86,98,41,57,,,,,,1,1,1,1,,,0,,,0.32,11,11,11,11
File,"BeanShellBeanInfoSupport.java",1,1,1,1,31,8,23,0,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,63,14,29,7,20,20,,,,25,27,7,20,,,,,,1,1,1,1,,,0,,,0.69,1,1,1,1
File,"BeanShellClient.java",2,2,2,1,17,2,14,1,,,,2,2,1,4,,4,2,1,4,,0,1,0,3,,117,23,72,29,42,27,,,,47,58,28,30,,,,,,4,4,4,1,,,2,,,0.38,9,9,9,4
File,"BeanShellInterpreter.java",2,2,2,1,9,0,8,1,,,,1,1,7,12,,12,11,11,12,,0,2,0,10,,225,29,152,45,96,59,,,,81,107,44,63,,,,,,11,11,12,1,,,3,,,0.39,27,27,28,12
File,"BeanShellListener.java",1,1,1,1,5,0,4,1,,,,1,0,3,6,,6,6,0,6,,0,0,1,5,,87,14,50,30,16,27,,,,24,33,23,10,,,,,,3,3,3,1,,,1,,,0.54,8,8,8,6
File,"BeanShellListenerBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BeanShellPostProcessor.java",2,2,2,2,12,1,10,1,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,69,9,41,23,17,22,,,,24,30,20,10,,,,,,4,4,4,3,,,1,,,0.54,5,5,5,4
File,"BeanShellPostProcessorBeanInfo.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,5,7,4,1,17,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,2.43,1,1,1,1
File,"BeanShellPreProcessor.java",2,2,2,1,9,0,9,1,,,,1,0,3,2,,2,2,0,2,,0,0,1,1,,64,7,38,23,15,21,,,,23,28,20,8,,,,,,3,3,3,1,,,1,,,0.55,4,4,4,2
