Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,4,3,4,2,24,5,16,1,1,48,0,0,0,81,7,81,81,7,8,0,66,2077,565,1383,353,982,129,721,992,346,646,25,19,25,22,1,4,87,0.09,354,272,361,177,HIGH
Public Class,1,1,1,1,30,5,20,5,1,74,0,0,1,7,0,7,17,0,4,0,3,258,49,146,22,122,63,110,125,21,104,3,3,3,1,3,2,100,0.43,12,12,13,7,HIGH
Public Abstract Generic Class,2,2,2,1,10,0,6,3,1,8,1,0,0,10,6,10,20,0,0,3,7,125,15,69,18,41,43,32,53,18,35,9,9,9,1,2,3,75,0.62,21,21,21,9,HIGH
Public Class,2,2,2,1,16,0,12,3,1,14,0,0,5,17,2,17,21,0,6,0,11,333,34,216,73,153,83,121,159,73,86,8,8,8,5,2,5,87,0.38,42,42,43,23,HIGH
Public Class,2,2,3,1,17,2,10,3,2,19,0,1,3,18,4,19,19,0,2,0,17,384,96,210,45,139,78,95,152,45,107,13,13,14,1,1,3,78,0.37,56,56,58,19,HIGH
Class,1,1,1,1,14,0,5,9,1,2,0,0,0,6,0,6,38,0,0,0,6,107,12,33,10,16,68,12,22,10,12,4,4,4,1,5,1,0,2.06,9,9,9,6,HIGH
Public Abstract Class,2,2,2,1,11,0,8,2,1,34,15,1,3,43,6,44,44,0,0,0,44,556,95,349,78,169,112,149,226,85,141,9,9,10,6,1,5,91,0.32,77,77,80,49,HIGH
Class,5,5,5,1,23,0,21,2,1,56,0,2,0,62,22,64,241,38,4,4,18,1635,72,1423,338,1056,149,809,1137,354,783,47,47,58,18,3,9,93,0.1,327,320,372,127,HIGH
Public Class,3,3,3,1,23,1,14,7,2,15,0,1,1,15,5,16,17,0,13,0,3,444,39,265,98,173,151,134,188,81,107,9,9,11,4,1,3,68,0.57,53,48,60,22,HIGH
Public Class,1,1,2,1,13,0,8,4,2,18,2,0,1,17,5,17,17,0,1,0,16,273,48,151,29,103,74,47,80,29,51,6,6,12,4,1,2,78,0.49,32,32,39,24,HIGH
Public Class,4,3,4,1,30,2,17,9,1,6,0,0,1,27,4,27,27,0,25,0,2,914,96,551,92,441,268,318,401,84,317,24,10,24,1,1,3,75,0.49,120,82,128,27,HIGH
Public Class,3,3,5,1,16,0,15,0,1,6,0,0,0,3,0,3,34,0,0,0,3,63,5,49,12,32,9,23,35,12,23,9,9,13,1,3,4,0,0.18,11,11,15,3,HIGH
Public Class,3,2,3,2,10,1,8,0,1,11,0,1,1,18,0,19,105,0,1,0,18,238,57,170,26,104,11,52,97,24,73,22,10,22,13,2,3,94,0.06,62,50,67,46,HIGH
Public Class,2,2,2,1,33,5,18,9,1,27,0,0,1,12,9,12,28,0,4,1,7,430,83,234,77,175,116,157,186,71,115,8,8,8,1,2,4,84,0.5,30,29,30,12,HIGH
Public Class,2,1,2,1,12,2,9,0,1,26,1,37,5,67,26,104,104,1,3,0,100,1528,388,1031,237,702,117,563,708,200,508,40,8,42,7,1,3,94,0.11,226,145,233,117,HIGH
Public Class,3,2,3,1,11,0,11,0,1,15,0,1,0,11,3,12,12,1,0,0,11,175,16,141,32,98,18,60,91,33,58,15,13,15,3,1,5,61,0.13,38,30,38,14,HIGH
Public Class,6,3,6,1,25,2,20,3,1,36,0,1,0,30,2,31,31,0,27,0,4,826,94,638,75,477,103,365,483,106,377,73,22,75,8,1,9,61,0.16,207,117,213,50,HIGH
Public Class,4,4,5,1,34,2,27,4,1,19,0,1,14,15,1,16,16,0,12,0,4,597,59,455,124,357,85,286,348,132,216,19,19,22,3,1,9,91,0.19,74,74,95,20,HIGH
Public Class,2,2,2,1,15,0,8,6,1,18,1,18,19,11,0,29,79,3,0,0,26,534,39,277,73,204,218,160,222,75,147,11,11,11,3,3,3,99,0.79,66,62,70,31,HIGH
Class,5,4,6,1,28,0,23,4,1,23,2,2,1,40,27,42,113,15,1,14,12,1517,66,1141,361,851,313,715,925,324,601,23,15,24,6,2,6,89,0.27,234,208,276,73,HIGH
Public Class,2,2,2,1,27,1,20,5,3,28,0,0,1,37,9,37,41,8,12,1,16,1577,177,1061,278,790,342,575,785,281,504,12,12,12,5,3,3,91,0.32,108,106,108,47,HIGH
Static Class,3,3,3,1,11,0,11,0,1,1,0,0,0,3,1,3,19,0,0,2,1,59,5,40,7,28,14,18,29,5,24,7,7,7,1,2,2,0,0.35,10,10,10,3,HIGH
