Results	Entity	Line	Column	CheckID	Check Name
                Violation: BaseFilterReader.skip defined but not called.	BaseFilterReader.skip	107	22	JAVA_04	Unused Methods
                Called by too many functions (24)	BaseFilterReader.setInitialized	126	25	METRIC_01	Program Unit Callby Count
                Called by too many functions (13)	BaseFilterReader.getInitialized	135	28	METRIC_01	Program Unit Callby Count
                Called by too many functions (6)	BaseFilterReader.readLine	168	27	METRIC_01	Program Unit Callby Count
                Violation: function "org.apache.tools.ant.filters.BaseFilterReader.read" is directly recursive, which is unsafe.	BaseFilterReader.read	83	27	AC_01	No direct or indirect recursion allowed.
              BaseParamFilterReader.java					
                No exit point in method	BaseParamFilterReader.BaseParamFilterReader	39	11	JAVA_03	Single exit point at end
                No exit point in method	BaseParamFilterReader.BaseParamFilterReader	49	11	JAVA_03	Single exit point at end
                Called by too many functions (14)	BaseParamFilterReader.BaseParamFilterReader	39	11	METRIC_01	Program Unit Callby Count
                Called by too many functions (14)	BaseParamFilterReader.BaseParamFilterReader	49	11	METRIC_01	Program Unit Callby Count
                Called by too many functions (12)	BaseParamFilterReader.getParameters	70	32	METRIC_01	Program Unit Callby Count
              ClassConstants.java					
                Fixed Value(1) used incorrectly	ch	90	18	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	92	57	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	charAt	97	35	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	substring	98	46	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	99	39	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	104	51	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	124	42	JAVA_01	Magic Numbers - Java
                No exit point in method	ClassConstants.ClassConstants	62	11	JAVA_03	Single exit point at end
                No exit point in method	ClassConstants.ClassConstants	74	11	JAVA_03	Single exit point at end
                Multiple exit points from method	ClassConstants.read	88	15	JAVA_03	Single exit point at end
                Calling too many functions (12)	ClassConstants.read	88	15	METRIC_00	Program Unit Call Count
                Complexity(13) greater than allowed(5)	ClassConstants.read	88	15	METRIC_03	Program Unit Cyclomatic Complexity
                Max Length(60) Exceeded: 71 lines.	ClassConstants.read	88		METRIC_04	Program Unit Max Length
                Violation: function "org.apache.tools.ant.filters.ClassConstants.read" is directly recursive, which is unsafe.	ClassConstants.read	126	35	AC_01	No direct or indirect recursion allowed.
              ConcatFilter.java					
                Fixed Value(1) used incorrectly	ch	98	18	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	104	23	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	110	19	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	113	19	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	118	27	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	i	191	25	JAVA_01	Magic Numbers - Java
                No exit point in method	ConcatFilter.ConcatFilter	65	11	JAVA_03	Single exit point at end
                No exit point in method	ConcatFilter.ConcatFilter	75	11	JAVA_03	Single exit point at end
                Violation: ConcatFilter.read defined but not called.	ConcatFilter.read	91	15	JAVA_04	Unused Methods
                Calling too many functions (10)	ConcatFilter.initialize	187	17	METRIC_00	Program Unit Call Count
                Complexity(8) greater than allowed(5)	ConcatFilter.read	91	15	METRIC_03	Program Unit Cyclomatic Complexity
                Complexity(9) greater than allowed(5)	ConcatFilter.initialize	187	17	METRIC_03	Program Unit Cyclomatic Complexity
              EscapeUnicode.java					
                Fixed Value(1) used incorrectly	ch	84	18	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	85	35	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	ch	87	23	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	charAt	95	41	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	deleteCharAt	96	36	JAVA_01	Magic Numbers - Java
                No exit point in method	EscapeUnicode.EscapeUnicode	52	11	JAVA_03	Single exit point at end
                No exit point in method	EscapeUnicode.EscapeUnicode	63	11	JAVA_03	Single exit point at end
                Violation: EscapeUnicode.read defined but not called.	EscapeUnicode.read	78	21	JAVA_04	Unused Methods
                Calling too many functions (8)	EscapeUnicode.read	78	21	METRIC_00	Program Unit Call Count
              ExpandProperties.java					
                Fixed Value(1) used incorrectly	ExpandProperties.EOF	45	36	JAVA_01	Magic Numbers - Java
                No exit point in method	ExpandProperties.ExpandProperties	56	11	JAVA_03	Single exit point at end
                No exit point in method	ExpandProperties.ExpandProperties	66	11	JAVA_03	Single exit point at end
                Multiple exit points from method	ExpandProperties.read	93	15	JAVA_03	Single exit point at end
                Violation: ExpandProperties.read defined but not called.	ExpandProperties.read	93	15	JAVA_04	Unused Methods
                Calling too many functions (9)	ExpandProperties.read	93	15	METRIC_00	Program Unit Call Count
                Comment/Code Ratio too low (0%)	(Anon_1).getProperty	105		METRIC_02	Program Unit Comment to Code Ratio
              FixCrLfFilter.java					
                Fixed Value(8) used incorrectly	FixCrLfFilter.DEFAULT_TAB_LENGTH	73	50	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	FixCrLfFilter.MIN_TAB_LENGTH	74	46	JAVA_01	Magic Numbers - Java
                Fixed Value(80) used incorrectly	FixCrLfFilter.MAX_TAB_LENGTH	75	46	JAVA_01	Magic Numbers - Java
                Fixed Value(16) used incorrectly	SimpleFilterReader.PREEMPT_BUFFER_LENGTH	402	57	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	SimpleFilterReader.preemptIndex	407	35	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	length	421	52	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	SimpleFilterReader.preempt	422	42	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	length	429	42	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	cs	435	21	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	SimpleFilterReader.preemptIndex	451	34	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	buf	479	29	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	count	483	24	JAVA_01	Magic Numbers - Java
