system_id,package,class,fullClassName,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
freecol,net.sf.freecol.server.ai,REFTest,net.sf.freecol.server.ai.REFTest,20,7,6,7,5,46,3,40,2,1,15,0,0,2,2,0,2,25,0,0,0,2,122,12,88,26,69,22,52,67,24,43,13,11,13,9,3,3,50,0.25,14,12,14,10,1
freecol,net.sf.freecol.common.util,Xml,net.sf.freecol.common.util.Xml,20,1,1,1,1,6,0,5,0,1,2,0,27,0,1,0,28,28,0,3,0,25,286,72,170,43,83,44,61,109,46,63,4,4,4,4,1,2,0,0.26,46,46,47,33,1
freecol,net.sf.freecol.client.gui.plaf,FreeColLabelUI,net.sf.freecol.client.gui.plaf.FreeColLabelUI,20,1,1,1,1,4,0,3,0,1,1,0,1,0,2,0,3,3,0,0,0,3,39,5,13,4,5,21,5,9,4,5,1,1,1,1,2,0,0,1.62,3,3,3,3,1
freecol,net.sf.freecol.client.gui,FullScreenFrame,net.sf.freecol.client.gui.FullScreenFrame,20,1,1,1,1,12,3,5,4,1,2,0,0,1,2,0,2,7,0,0,0,2,59,13,16,6,9,30,8,11,4,7,1,1,1,1,3,0,50,1.88,2,2,2,2,1
freecol,net.sf.freecol.client.gui.plaf,FreeColTextFieldUI,net.sf.freecol.client.gui.plaf.FreeColTextFieldUI,20,1,1,1,1,4,0,4,0,1,2,0,1,0,3,1,4,4,0,0,0,4,50,8,20,8,7,22,7,13,7,6,2,2,2,1,2,1,50,1.1,5,5,5,4,1
freecol,net.sf.freecol.client.gui.panel,SelectDestinationDialog.DistanceComparator,net.sf.freecol.client.gui.panel.SelectDestinationDialog.DistanceComparator,7,2,2,2,1,8,0,8,0,2,2,0,0,0,1,0,1,1,0,0,0,1,10,0,10,3,5,0,3,6,3,3,2,2,2,1,1,1,0,0,2,2,2,1,1
freecol,net.sf.freecol.server.generator,LandGenerator,net.sf.freecol.server.generator.LandGenerator,20,4,4,5,1,27,2,18,6,1,7,0,1,1,10,10,11,11,0,8,0,3,379,57,217,48,143,105,121,175,60,115,12,12,21,5,1,4,62,0.48,53,50,64,20,1
freecol,net.sf.freecol.client.gui.panel,EuropePanel,net.sf.freecol.client.gui.panel.EuropePanel,20,2,2,2,1,27,1,20,4,1,27,0,0,1,11,13,11,59,0,3,0,8,742,89,509,134,361,147,264,348,107,241,7,5,7,1,4,3,81,0.29,27,22,29,11,1
freecol,net.sf.freecol.client.gui.action,ReportProductionAction,net.sf.freecol.client.gui.action.ReportProductionAction,20,1,1,1,1,7,0,3,4,1,2,0,0,1,2,0,2,26,1,0,0,1,42,3,9,4,3,30,3,6,4,2,1,1,1,1,3,0,50,3.33,2,2,2,2,1
freecol,net.sf.freecol.client.gui.action,PreferencesAction,net.sf.freecol.client.gui.action.PreferencesAction,20,1,1,1,1,8,0,3,5,1,2,0,0,1,2,0,2,26,1,0,0,1,45,4,9,4,3,32,3,6,4,2,1,1,1,1,3,0,50,3.56,2,2,2,2,1
